,created_by,name,description,directions,glass,image_url
44,,Adam & Eve,Adam & Eve,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg
45,,Adam Bomb,Adam Bomb,Combine ingredients,Margarita/coupette Glass,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg
46,,Adam Sunrise,Adam Sunrise,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg
47,,Addington,Addington,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg
48,,Addison,Addison,Combine ingredients,Martini Glass,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg
49,,Addison Special,Addison Special,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg
50,,Adios Amigos Cocktail,Adios Amigos Cocktail,Combine ingredients,Martini Glass,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg
51,,Adonis Cocktail,Adonis Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg
52,,Affair,Affair,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg
53,,Affinity,Affinity,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg
54,,After Dinner Cocktail,After Dinner Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg
55,,After Five,After Five,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg
56,,After Supper Cocktail,After Supper Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg
57,,After sex,After sex,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg
58,,Afterglow,Afterglow,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg
59,,Afternoon,Afternoon,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg
60,,Alabama Slammer,Alabama Slammer,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg
61,,Alaska Cocktail,Alaska Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg
62,,Alexander,Alexander,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg
63,,Alfie Cocktail,Alfie Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg
64,,Algonquin,Algonquin,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg
65,,Alice Cocktail,Alice Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg
66,,Alice in Wonderland,Alice in Wonderland,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg
67,,Allegheny,Allegheny,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg
68,,Allies Cocktail,Allies Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg
69,,Almeria,Almeria,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg
70,,Almond Chocolate Coffee,Almond Chocolate Coffee,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg
71,,Almond Joy,Almond Joy,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg
72,,Aloha Fruit punch,Aloha Fruit punch,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg
73,,Amaretto And Cream,Amaretto And Cream,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg
74,,Amaretto Liqueur,Amaretto Liqueur,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg
75,,Amaretto Mist,Amaretto Mist,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg
76,,Amaretto Rose,Amaretto Rose,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg
77,,Amaretto Shake,Amaretto Shake,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg
78,,Amaretto Sour,Amaretto Sour,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg
79,,Amaretto Stinger,Amaretto Stinger,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg
80,,Amaretto Stone Sour,Amaretto Stone Sour,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg
81,,Amaretto Stone Sour #3,Amaretto Stone Sour #3,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg
