,created_by,name,description,directions,glass,image_url
195,,Chocolate Drink,Chocolate Drink,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg
196,,Chocolate Milk,Chocolate Milk,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg
197,,Chocolate Monkey,Chocolate Monkey,Combine ingredients,Parfait Glass,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg
198,,Citrus Coke,Citrus Coke,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg
199,,City Slicker,City Slicker,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg
200,,Classic Old-Fashioned,Classic Old-Fashioned,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg
201,,Clove Cocktail,Clove Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg
202,,Clover Club,Clover Club,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg
203,,Coffee Liqueur,Coffee Liqueur,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg
204,,Coffee-Vodka,Coffee-Vodka,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg
205,,Coke and Drops,Coke and Drops,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg
206,,Cosmopolitan,Cosmopolitan,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
207,,Cosmopolitan Martini,Cosmopolitan Martini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg
208,,Cranberry Cordial,Cranberry Cordial,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg
209,,Cranberry Punch,Cranberry Punch,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg
210,,Cream Soda,Cream Soda,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg
211,,Creme de Menthe,Creme de Menthe,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg
212,,Cuba Libra,Cuba Libra,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg
213,,Cuba Libre,Cuba Libre,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg
214,,Daiquiri,Daiquiri,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg
215,,Damned if you do,Damned if you do,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg
216,,Danbooka,Danbooka,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg
217,,Dark Caipirinha,Dark Caipirinha,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg
218,,Dark and Stormy,Dark and Stormy,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg
219,,Darkwood Sling,Darkwood Sling,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg
220,,Derby,Derby,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/i502ra1504349156.jpg
221,,Diesel,Diesel,Combine ingredients,Pint Glass,http://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg
222,,Dirty Martini,Dirty Martini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg
223,,Dirty Nipple,Dirty Nipple,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg
224,,Downshift,Downshift,Combine ingredients,Hurricane Glass,http://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg
225,,Dragonfly,Dragonfly,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/lnvbip1504389100.jpg
226,,Drinking Chocolate,Drinking Chocolate,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg
227,,Dry Rob Roy,Dry Rob Roy,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg
228,,Dubonnet Cocktail,Dubonnet Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/xxsuwr1439457147.jpg
229,,Duchamp's Punch,Duchamp's Punch,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg
230,,Egg Cream,Egg Cream,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg
231,,Egg Nog #4,Egg Nog #4,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg
232,,Egg Nog - Healthy,Egg Nog - Healthy,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg
233,,Egg-Nog - Classic Cooked,Egg-Nog - Classic Cooked,Combine ingredients,Pitcher,http://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg
234,,English Highball,English Highball,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg
235,,English Rose Cocktail,English Rose Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg
236,,Espresso Martini,Espresso Martini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg
237,,Fahrenheit 5000,Fahrenheit 5000,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg
238,,Flaming Dr. Pepper,Flaming Dr. Pepper,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg
239,,Flaming Lamborghini,Flaming Lamborghini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg
240,,Flander's Flake-Out,Flander's Flake-Out,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg
241,,Flying Dutchman,Flying Dutchman,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/akik8t1504519958.jpg
242,,Flying Scotchman,Flying Scotchman,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/glgrix1504520040.jpg
243,,Foxy Lady,Foxy Lady,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg
244,,Frappé,Frappé,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg
245,,Freddy Kruger,Freddy Kruger,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg
246,,"French ""75""","French ""75""",Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qpvxsx1439906903.jpg
247,,French 75,French 75,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg
248,,French Connection,French Connection,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg
249,,French Martini,French Martini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg
250,,Frisco Sour,Frisco Sour,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/y39l941504884150.jpg
251,,Frozen Daiquiri,Frozen Daiquiri,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg
252,,Frozen Mint Daiquiri,Frozen Mint Daiquiri,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg
253,,Frozen Pineapple Daiquiri,Frozen Pineapple Daiquiri,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/j2mqsb1504736097.jpg
254,,Fruit Cooler,Fruit Cooler,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg
255,,Fruit Flip-Flop,Fruit Flip-Flop,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg
256,,Fruit Shake,Fruit Shake,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg
257,,Fuzzy Asshole,Fuzzy Asshole,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg
258,,GG,GG,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg
259,,Gagliardo,Gagliardo,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg
260,,Gentleman's Club,Gentleman's Club,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/ezvy1c1504883335.jpg
261,,Gideon's Green Dinosaur,Gideon's Green Dinosaur,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/p5r0tr1503564636.jpg
262,,Gin And Tonic,Gin And Tonic,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/wtyxvx1472405831.jpg
263,,Gin Cooler,Gin Cooler,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wsyrvv1478820109.jpg
264,,Gin Daisy,Gin Daisy,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/qwxysv1478819943.jpg
265,,Gin Fizz,Gin Fizz,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/xhl8q31504351772.jpg
266,,Gin Rickey,Gin Rickey,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg
267,,Gin Sling,Gin Sling,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/h8wmm41504883440.jpg
268,,Gin Smash,Gin Smash,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg
269,,Gin Sour,Gin Sour,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg
270,,Gin Squirt,Gin Squirt,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg
271,,Gin Swizzle,Gin Swizzle,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg
272,,Gin Toddy,Gin Toddy,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg
273,,Girl From Ipanema,Girl From Ipanema,Combine ingredients,Wine Glass,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg
274,,Gluehwein,Gluehwein,Combine ingredients,Irish Coffee Cup,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg
275,,Godchild,Godchild,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg
276,,Godfather,Godfather,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg
277,,Godmother,Godmother,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg
278,,Golden dream,Golden dream,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg
279,,Grand Blue,Grand Blue,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg
280,,Grape lemon pineapple Smoothie,Grape lemon pineapple Smoothie,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg
281,,Grass Skirt,Grass Skirt,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg
282,,Grasshopper,Grasshopper,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg
283,,Green Goblin,Green Goblin,Combine ingredients,Pint Glass,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg
284,,Grim Reaper,Grim Reaper,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg
285,,Grizzly Bear,Grizzly Bear,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg
286,,H.D.,H.D.,Combine ingredients,Beer Mug,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg
287,,Happy Skipper,Happy Skipper,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg
288,,Harvey Wallbanger,Harvey Wallbanger,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg
289,,Havana Cocktail,Havana Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg
290,,Hawaiian Cocktail,Hawaiian Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg
291,,Hemingway Special,Hemingway Special,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg
292,,Herbal flame,Herbal flame,Combine ingredients,Mason Jar,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg
293,,Highland Fling Cocktail,Highland Fling Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg
294,,Holloween Punch,Holloween Punch,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg
295,,Homemade Kahlua,Homemade Kahlua,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg
296,,Horse's Neck,Horse's Neck,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg
297,,Hot Chocolate to Die for,Hot Chocolate to Die for,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg
298,,Hot Creamy Bush,Hot Creamy Bush,Combine ingredients,Irish Coffee Cup,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg
299,,Ice Pick #1,Ice Pick #1,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg
300,,Iced Coffee,Iced Coffee,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg
301,,Iced Coffee Fillip,Iced Coffee Fillip,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg
302,,Imperial Cocktail,Imperial Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg
303,,Imperial Fizz,Imperial Fizz,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg
304,,Ipamena,Ipamena,Combine ingredients,Wine Glass,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg
305,,Irish Coffee,Irish Coffee,Combine ingredients,Irish Coffee Cup,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg
306,,Irish Cream,Irish Cream,Combine ingredients,Irish Coffee Cup,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg
307,,Irish Curdling Cow,Irish Curdling Cow,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg
308,,Irish Russian,Irish Russian,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg
309,,Irish Spring,Irish Spring,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg
310,,Jack Rose Cocktail,Jack Rose Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg
311,,Jack's Vanilla Coke,Jack's Vanilla Coke,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg
312,,Jackhammer,Jackhammer,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg
313,,Jam Donut,Jam Donut,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg
314,,Jamaica Kiss,Jamaica Kiss,Combine ingredients,Hurricane Glass,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg
315,,Jamaican Coffee,Jamaican Coffee,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg
316,,Japanese Fizz,Japanese Fizz,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg
317,,Jello shots,Jello shots,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg
318,,Jelly Bean,Jelly Bean,Combine ingredients,Cordial Glass,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg
319,,Jewel Of The Nile,Jewel Of The Nile,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg
320,,Jitterbug,Jitterbug,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg
321,,John Collins,John Collins,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg
322,,Just a Moonmint,Just a Moonmint,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg
323,,Kamikaze,Kamikaze,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg
324,,Karsk,Karsk,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg
325,,Kentucky B And B,Kentucky B And B,Combine ingredients,Brandy Snifter,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg
326,,Kentucky Colonel,Kentucky Colonel,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg
327,,Kill the cold Smoothie,Kill the cold Smoothie,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg
328,,Kioki Coffee,Kioki Coffee,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg
329,,Kir,Kir,Combine ingredients,Wine Glass,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg
330,,Kir Royale,Kir Royale,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg
331,,Kiss me Quick,Kiss me Quick,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg
332,,Kiwi Lemon,Kiwi Lemon,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg
333,,Kiwi Papaya Smoothie,Kiwi Papaya Smoothie,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg
334,,Kool First Aid,Kool First Aid,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg
335,,Kool-Aid Shot,Kool-Aid Shot,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg
336,,Kool-Aid Slammer,Kool-Aid Slammer,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg
337,,Kurant Tea,Kurant Tea,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg
338,,Lady Love Fizz,Lady Love Fizz,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg
339,,Lassi - A South Indian Drink,Lassi - A South Indian Drink,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg
340,,Lassi - Mango,Lassi - Mango,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg
341,,Lassi - Sweet,Lassi - Sweet,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg
342,,Lassi Khara,Lassi Khara,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg
343,,Lassi Raita,Lassi Raita,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg
344,,Lemon Drop,Lemon Drop,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg
345,,Lemon Shot,Lemon Shot,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg
346,,Lemouroudji,Lemouroudji,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg
347,,Limeade,Limeade,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg
348,,Limona Corona,Limona Corona,Combine ingredients,Beer Glass,http://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg
349,,Loch Lomond,Loch Lomond,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg
350,,London Town,London Town,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg
351,,Lone Tree Cocktail,Lone Tree Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg
352,,Lone Tree Cooler,Lone Tree Cooler,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg
353,,Long Island Iced Tea,Long Island Iced Tea,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg
354,,Long Island Tea,Long Island Tea,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg
355,,Long vodka,Long vodka,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg
356,,Lord And Lady,Lord And Lady,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg
357,,Lunch Box,Lunch Box,Combine ingredients,Pint Glass,http://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg
358,,Mai Tai,Mai Tai,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg
359,,Malibu Twister,Malibu Twister,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg
360,,Mango Orange Smoothie,Mango Orange Smoothie,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/vdp2do1487603520.jpg
361,,Manhattan,Manhattan,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg
362,,Margarita,Margarita,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg
363,,Martinez Cocktail,Martinez Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg
364,,Martini,Martini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg
365,,Mary Pickford,Mary Pickford,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg
366,,Masala Chai,Masala Chai,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg
367,,Melya,Melya,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg
368,,Miami Vice,Miami Vice,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg
369,,Microwave Hot Cocoa,Microwave Hot Cocoa,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/8y4x5f1487603151.jpg
370,,Midnight Cowboy,Midnight Cowboy,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vsxxwy1441208133.jpg
371,,Midnight Manx,Midnight Manx,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg
372,,Midnight Mint,Midnight Mint,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg
373,,Mimosa,Mimosa,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg
374,,Mississippi Planters Punch,Mississippi Planters Punch,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg
375,,Mocha-Berry,Mocha-Berry,Combine ingredients,Irish Coffee Cup,http://www.thecocktaildb.com/images/media/drink/vtwyyx1441246448.jpg
376,,Mojito,Mojito,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg
377,,Mojito #3,Mojito #3,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg
378,,Monkey Gland,Monkey Gland,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg
379,,Monkey Wrench,Monkey Wrench,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/8it05n1504353314.jpg
380,,Moranguito,Moranguito,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg
381,,Moscow Mule,Moscow Mule,Combine ingredients,Copper Mug,http://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg
382,,Mother's Milk,Mother's Milk,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/7stuuh1504885399.jpg
383,,Mudslinger,Mudslinger,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/hepk6h1504885554.jpg
384,,Mulled Wine,Mulled Wine,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/iuwi6h1504735724.jpg
385,,National Aquarium,National Aquarium,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg
386,,Negroni,Negroni,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/tutwwv1439907127.jpg
387,,New York Lemonade,New York Lemonade,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg
388,,New York Sour,New York Sour,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg
389,,Nuked Hot Chocolate,Nuked Hot Chocolate,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg
